date,count
2017-07-03,3
2017-07-05,3
2017-07-06,4
2017-07-07,6
2017-07-10,5
2017-07-11,1
2017-07-12,4
2017-07-14,6
2017-07-17,5
2017-07-18,6
2017-07-19,6
2017-07-20,3
2017-07-21,5
2017-07-24,4
2017-07-25,5
2017-07-26,3
2017-07-27,5
2017-07-28,3
2017-07-31,4
2017-08-01,4
2017-08-02,2
2017-08-03,5
2017-08-04,1
2017-08-07,1
2017-08-08,2
2017-08-09,1
2017-08-10,1
2017-08-11,1
2017-08-15,3
2017-08-16,2
2017-08-18,1
2017-08-21,1
2017-08-22,1
2017-08-23,5
2017-08-24,2
2017-08-25,3
2017-08-28,1
2017-08-29,4
2017-08-30,1
2017-08-31,3
2017-09-01,3
2017-09-03,1
2017-09-04,1
2017-09-05,1
2017-09-06,4
2017-09-07,4
2017-09-08,4
2017-09-11,2
2017-09-12,5
2017-09-13,3
2017-09-14,2
2017-09-15,2
2017-09-18,5
2017-09-19,6
2017-09-20,5
2017-09-21,3
2017-09-22,1
2017-09-25,2
2017-09-26,6
2017-09-27,5
2017-09-28,6
2017-09-29,9
2017-09-30,1
2017-10-01,2
2017-10-02,6
2017-10-03,4
2017-10-04,3
2017-10-05,5
2017-10-06,5
2017-10-10,3
2017-10-11,7
2017-10-12,7
2017-10-13,11
2017-10-16,9
2017-10-17,7
2017-10-18,5
2017-10-19,5
2017-10-20,4
2017-10-23,3
2017-10-24,4
2017-10-25,2
2017-10-26,5
2017-10-27,4
2017-10-30,4
2017-10-31,4
2017-11-01,4
2017-11-02,4
2017-11-03,4
2017-11-06,3
2017-11-07,3
2017-11-08,6
2017-11-09,7
2017-11-10,1
2017-11-12,1
2017-11-13,7
2017-11-14,6
2017-11-15,7
2017-11-16,7
2017-11-17,9
2017-11-20,6
2017-11-21,4
2017-11-22,4
2017-11-26,1
2017-11-27,3
2017-11-28,5
2017-11-29,7
2017-11-30,5
2017-12-01,7
2017-12-03,7
2017-12-04,9
2017-12-05,11
2017-12-06,11
2017-12-07,7
2017-12-08,9
2017-12-10,3
2017-12-11,6
2017-12-12,5
2017-12-13,9
2017-12-14,3
2017-12-15,3
2017-12-17,1
2017-12-20,1
2017-12-21,1
2018-01-03,1
2018-01-08,1
2018-01-09,1
2018-01-10,2
2018-01-11,2
2018-01-12,2
2018-01-16,5
2018-01-17,2
2018-01-18,1
2018-01-19,2
2018-01-22,4
2018-01-23,2
2018-01-24,2
2018-01-25,5
2018-01-26,2
2018-01-29,6
2018-01-30,5
2018-01-31,6
2018-02-01,6
2018-02-02,6
2018-02-05,4
2018-02-06,6
2018-02-07,5
2018-02-08,6
2018-02-09,7
2018-02-11,1
2018-02-12,7
2018-02-13,5
2018-02-14,3
2018-02-15,7
2018-02-16,11
2018-02-19,2
2018-02-20,9
2018-02-21,7
2018-02-22,8
2018-02-23,11
2018-02-26,12
2018-02-27,7
2018-02-28,7
2018-03-01,7
2018-03-02,8
2018-03-04,1
2018-03-05,5
2018-03-06,6
2018-03-07,5
2018-03-08,7
2018-03-09,4
2018-03-12,4
2018-03-14,3
2018-03-15,4
2018-03-16,4
2018-03-19,11
2018-03-20,6
2018-03-21,4
2018-03-22,8
2018-03-23,6
2018-03-24,2
2018-03-25,1
2018-03-26,2
2018-03-27,4
2018-03-28,7
2018-03-29,4
2018-03-30,3
2018-04-02,4
2018-04-03,7
2018-04-04,8
2018-04-05,7
2018-04-06,5
2018-04-09,7
2018-04-10,6
2018-04-11,6
2018-04-12,11
2018-04-13,6
2018-04-16,9
2018-04-17,8
2018-04-18,5
2018-04-19,5
2018-04-20,8
2018-04-22,1
2018-04-23,7
2018-04-24,5
2018-04-25,6
2018-04-26,3
2018-04-27,6
2018-04-30,2
2018-05-01,2
2018-05-02,2
2018-05-03,3
2018-05-07,2
2018-05-08,2
2018-05-10,2
2018-05-11,1
2018-05-16,1
2018-05-31,1
2018-07-02,1
